variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
C,syn_0001,negative_hit|extraction_gold_mismatch,,오한,감기 증상,20,오한; 감기 증상; 기운없음; 근육통; 권태감; 두통; 말초부종; 구토; 열; 탈장; 폐부종; 반복되는 폐렴; 삼키기 곤란; 콧물; 마찰음; 설사; 객혈; 사지 부종; 결막염; 가래,오한은 지금 없어 근데 감기 기운이 있어 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0005,miss_all_gold|negative_hit|extraction_gold_mismatch,가슴 두근거림,눈꼽,가슴 두근거림,20,눈꼽; 불안; 피부홍조; 발한; 탈장; 부정맥; 호흡곤란; 가슴 답답; 호기의 증가; 가래; 기침; 빈호흡; 청색증; 운동 시 호흡곤란; 함몰가슴; 반복되는 폐렴; 천명음; 구토; 피로감; 사망,눈꼽은 이제 거의 없어 근데 심장이 쿵쿵 뛰는 거 같아 그래서 좀 불편해.,,있음,symptom,1,0
C,syn_0009,partial_miss|negative_hit|extraction_gold_mismatch,호흡곤란,흉부압박감,거품이 섞인 가래; 호흡곤란,20,가래; 흉부압박감; 거품이 섞인 가래; 검은색 가래; 기침; 가슴 답답; 천명음; 객혈; 화농성 객담; 구토; 흉통; 두통; 오한; 반복되는 폐렴; 운동 시 호흡곤란; 감기 증상; 체중감소; 복벽이 움푹 들어감; 흉수; 결막염,흉부압박감은 지금은 괜찮아 근데 이번에 새로 가마이 있어도 숨이 벅차 그리고 거품 낀 가래가 나와.,,있음,symptom,1,0
C,syn_0013,negative_hit|extraction_gold_mismatch,,가슴 답답,설사,20,가슴 답답; 설사; 함몰가슴; 가슴 두근거림; 청색증; 감기 증상; 코막힘; 피로감; 구토; 콧물; 삼키기 곤란; 체중감소; 반복되는 폐렴; 피부홍조; 발한; 기침; 사망; 흉통; 빈맥; 흉곽 팽윤,가슴 답답은 지금은 괜찮아 근데 설사가 계속돼.,,있음,symptom,1,0
C,syn_0017,negative_hit|extraction_gold_mismatch,,콧물,눈꼽; 체중감소,20,콧물; 눈꼽; 체중감소; 결막염; 재채기; 가래; 기침; 가슴 답답; 코막힘; 구토; 흉통; 빈혈; 식욕부진; 근육통; 감기 증상; 하지부종; 사망; 열; 마찰음; 천식,콧물은 지금은 괜찮아 근데 체중이 줄었어 그리고 아침마다 눈꼽이 많이 껴 그래서 진료 보러 왔어.,,있음,symptom,1,0
C,syn_0019,partial_miss|extraction_gold_mismatch,피로감,,근력 약화; 피로감,20,근력 약화; 코막힘; 콧물; 사지 부종; 기운없음; 가슴 답답; 지남력 장애; 체중감소; 화농성 객담; 마찰음; 의식 저하; 방사통; 하지부종; 권태감; 빈맥; 폐기능저하; 눈이 무거운 느낌; 천식; 질식; 빈호흡,약 먹는 중인데 힘이 부쩍 약해진 거 같아 그리고 자도자도 피곤해.,,있음,symptom,1,0
C,syn_0021,negative_hit|extraction_gold_mismatch,,감기 증상,온몸이 떨림,20,감기 증상; 온몸이 떨림; 무증상; 뇌압상승증상; 다발성 장기부전 증상; 체중감소; 두통; 근육통; 설사; 가래; 오한; 폐부종; 객혈; 구토; 권태감; 말초부종; 식욕부진; 결막염; 피로감; 기침,감기 증상은 지금 없어 근데 온몸이 떨려.,,있음,symptom,1,0
C,syn_0025,negative_hit|extraction_gold_mismatch,,흉통,객혈,20,객혈; 가래; 흉통; 검은색 가래; 거품이 섞인 가래; 기침; 구토; 감기 증상; 화농성 객담; 불안; 결막염; 호기의 증가; 천식; 흉수; 기운없음; 심부전; 오한; 뇌압상승증상; 무증상; 사지 부종,흉통은 지금 없어 근데 오늘 아침부터 가래에 피가 섞여 나와.,,있음,symptom,1,0
C,syn_0028,partial_miss|extraction_gold_mismatch,운동 시 호흡곤란,,부정맥; 운동 시 호흡곤란,20,호흡곤란; 가슴 답답; 부정맥; 근력 약화; 서맥; 탈장; 빈맥; 결막염; 기침; 화농성 객담; 빈호흡; 복벽이 움푹 들어감; 식욕부진; 콧물; 경정맥 확장; 저산소증; 열; 구토; 코막힘; 권태감,집에 있던 약 조금 먹었는데도 조금만 걸어도 숨이 차 그리고 맥이 들쑥날쑥해.,,있음,symptom,1,0
C,syn_0029,partial_miss|negative_hit|extraction_gold_mismatch,빈맥,어지러움,빈맥; 흉통,20,호흡곤란; 어지러움; 가슴 답답; 함몰가슴; 가슴 두근거림; 부정맥; 흉통; 가래; 청색증; 피부홍조; 삼키기 곤란; 서맥; 불안; 발한; 기침; 눈이 무거운 느낌; 권태감; 흉수; 운동 시 호흡곤란; 호기의 증가,어지러움은 이제 거의 없어 근데 며칠 전부터 숨 쉬면 가슴이 결려 그리고 맥이 너무 빨리 뛰어.,,있음,symptom,1,0
