variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
C,eval_004,negative_hit|extraction_gold_mismatch,,재채기,콧물,20,콧물; 재채기; 결막염; 코막힘; 근육통; 두통; 구토; 오한; 열; 빈호흡; 체중감소; 기침; 폐부종; 감기 증상; 창백; 복벽이 움푹 들어감; 흉곽 팽윤; 설사; 어지러움; 말초부종,재채기는 멎었는데 콧물은 안주 나와요.,,있음,symptom,1,0
C,eval_006,negative_hit|extraction_gold_mismatch,,오한,기운없음,20,오한; 기운없음; 권태감; 두통; 근육통; 열; 재채기; 객혈; 가래; 구토; 빈호흡; 감기 증상; 무증상; 빈맥; 눈의 충혈; 설사; 빈혈; 검은색 가래; 발한; 방사통,오한은 가셨는데 안주 기운이 하나도 없어요.,,있음,symptom,1,0
C,eval_009,negative_hit|extraction_gold_mismatch,,두통,어지러움,20,어지러움; 콧물; 가래; 열; 감기 증상; 흉통; 사래걸림; 창백; 목의 통증; 재채기; 무증상; 기운없음; 근긴장의 이상; 두통; 눈이 무거운 느낌; 피부홍조; 방사통; 발한; 가슴 두근거림; 불안,머리 아픈 건 없어졌는데 어지러운 건 그대로드래요.,,있음,symptom,1,0
C,eval_013,negative_hit|extraction_gold_mismatch,,목의 통증,기침,20,목의 통증; 기침; 콧물; 결막염; 구토; 검은색 가래; 삼키기 곤란; 가래; 사망; 화농성 객담; 운동 시 호흡곤란; 감기 증상; 가슴 답답; 체중감소; 천명음; 근육통; 오한; 빈맥; 빈호흡; 폐부종,목 아픈 건 나았는데 기침이 오히려 더 심해졌어요.,,있음,symptom,1,0
C,eval_031,negative_hit|extraction_gold_mismatch,,근육통,기침,20,기침; 기운없음; 구토; 가슴 답답; 가래; 결막염; 검은색 가래; 삼키기 곤란; 감기 증상; 천명음; 빈호흡; 체중감소; 근력 약화; 화농성 객담; 두통; 근육통; 폐부종; 오한; 운동 시 호흡곤란; 객혈,몸살은 풀렸는데 기침이 안 떨어져요.,,있음,symptom,1,0
C,eval_032,negative_hit|extraction_gold_mismatch,,오한,근육통,20,근육통; 온몸이 떨림; 오한; 권태감; 열; 두통; 가래; 객혈; 검은색 가래; 구토; 흉부압박감; 곤봉지; 가슴 답답; 기침; 결막염; 감기 증상; 코막힘; 재채기; 흉통; 콧물,오한은 가셨는데 온몸이 쑤시고 결리는 건 남았어요.,,있음,symptom,1,0
C,eval_034,negative_hit|extraction_gold_mismatch,,재채기,기침,20,기침; 재채기; 구토; 가래; 기운없음; 결막염; 검은색 가래; 천명음; 빈호흡; 화농성 객담; 감기 증상; 체중감소; 식욕부진; 폐부종; 근력 약화; 콧물; 빈맥; 오한; 불안; 두통,"약은 없고, 재채기는 안 나는데 기침만 나오드래요.",,있음,symptom,1,0
C,eval_035,negative_hit|extraction_gold_mismatch,,가슴 답답,가슴 두근거림,20,가슴 답답; 가슴 두근거림; 함몰가슴; 삼키기 곤란; 심부전; 운동 시 호흡곤란; 흉부압박감; 결막염; 사망; 콧물; 고탄산증; 호기의 증가; 감기 증상; 가래; 기침; 근력 약화; 검은색 가래; 지남력 장애; 흉통; 눈이 무거운 느낌,가슴 답답한 건 가셨는데 인제 두근거리는 게 데우 심해요.,,있음,symptom,1,0
C,eval_037,negative_hit|extraction_gold_mismatch,,기침,가래,20,가래; 검은색 가래; 기침; 거품이 섞인 가래; 구토; 화농성 객담; 운동 시 호흡곤란; 결막염; 감기 증상; 빈호흡; 빈맥; 천명음; 가슴 답답; 객혈; 체중감소; 근육통; 콧물; 식욕부진; 권태감; 삼키기 곤란,기침은 멎었는데 가래가 아직 끓어요.,,있음,symptom,1,0
C,eval_038,negative_hit|extraction_gold_mismatch,,코막힘,기침,20,코막힘; 기침; 결막염; 콧물; 체중감소; 검은색 가래; 구토; 폐부종; 빈맥; 빈호흡; 가래; 식욕부진; 감기 증상; 화농성 객담; 천명음; 열; 근육통; 오한; 객혈; 권태감,코 막힌 건 풀렸는데 기침은 안주 나와요.,,있음,symptom,1,0
C,eval_039,negative_hit|extraction_gold_mismatch,,콧물,코막힘,20,콧물; 코막힘; 결막염; 기운없음; 재채기; 가래; 피부홍조; 불안; 삼키기 곤란; 열; 발한; 근육통; 탈장; 서맥; 흉곽 팽윤; 기침; 복벽이 움푹 들어감; 근력 약화; 사래걸림; 빈호흡,콧물은 안 나는데 코만 꽉 맥혀요.,,있음,symptom,1,0
C,eval_041,partial_miss|extraction_gold_mismatch,빈맥,,불안; 빈맥,20,불안; 발한; 부정맥; 피부홍조; 탈장; 운동 시 호흡곤란; 심부전; 가슴 답답; 함몰가슴; 청색증; 구토; 호기의 증가; 두통; 사망; 오한; 권태감; 삼키기 곤란; 기침; 천명음; 말초부종,심장이 너무 빨리 뛰고 괜히 불안해요.,,있음,symptom,1,0
C,eval_042,negative_hit|extraction_gold_mismatch,,목의 통증,목소리 변화,20,목의 통증; 목소리 변화; 기운없음; 가슴 답답; 가래; 콧물; 결막염; 하지부종; 근력 약화; 사래걸림; 마찰음; 호기의 증가; 근긴장의 이상; 코막힘; 거품이 섞인 가래; 화농성 객담; 지남력 장애; 창백; 검은색 가래; 사지 부종,목 아픈 건 나았는데 목소리가 안 돌아오드래요.,,있음,symptom,1,0
C,eval_044,negative_hit|extraction_gold_mismatch,,열,기침,20,기침; 열; 검은색 가래; 근육통; 가래; 결막염; 화농성 객담; 천명음; 탈장; 두통; 가슴 답답; 체중감소; 권태감; 운동 시 호흡곤란; 빈호흡; 삼키기 곤란; 폐부종; 감기 증상; 구토; 콧물,지난번보다 열은 내렸는데 기침은 아직 그대로예요.,,있음,symptom,1,0
C,eval_047,negative_hit|extraction_gold_mismatch,,가래,가슴 답답,20,가래; 가슴 답답; 검은색 가래; 함몰가슴; 거품이 섞인 가래; 가슴 두근거림; 화농성 객담; 기침; 체중감소; 삼키기 곤란; 운동 시 호흡곤란; 청색증; 감기 증상; 구토; 호흡곤란; 오한; 마찰음; 반복되는 폐렴; 흉통; 천명음,가래는 줄었는데 가슴 답답한 건 남아 있어요.,,있음,symptom,1,0
C,eval_049,miss_all_gold|extraction_gold_mismatch,설사,,설사,20,감기 증상; 무증상; 객혈; 기침; 빈혈; 사망; 수유 곤란; 체중감소; 호흡기감염; 함몰가슴; 목소리 변화; 의식 변화; 반복되는 폐렴; 심부전; 호기의 증가; 마찰음; 화농성 객담; 눈이 무거운 느낌; 청색증; 폐부종,하루에도 몇 번씩 무른 변을 보드래요.,,있음,symptom,1,0
C,eval_050,negative_hit|extraction_gold_mismatch,,콧물,코막힘,20,콧물; 코막힘; 결막염; 재채기; 두통; 열; 흉부압박감; 구토; 근육통; 피부홍조; 불안; 기침; 사망; 질식; 흉수; 사래걸림; 검은색 가래; 폐부종; 서맥; 오한,콧물은 그쳤는데 코는 안주 꽉 막혀 있어요.,,있음,symptom,1,0
C,eval_052,miss_all_gold|negative_hit|extraction_gold_mismatch,호흡곤란,코막힘,호흡곤란,20,코막힘; 질식; 콧물; 재채기; 기침; 빈호흡; 서맥; 지남력 장애; 복벽이 움푹 들어감; 기운없음; 권태감; 빈맥; 탈장; 근긴장의 이상; 화농성 객담; 결막염; 흉수; 고탄산증; 압통; 어지러움,코막힘은 풀렸는데 숨찬 건 여전해요.,,있음,symptom,1,0
