variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,1,호흡곤란,dyspnea,0.1096,1.0,0.3996,1.0,rrf_preferred_alias,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,true,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,2,운동 시 호흡곤란,symptom:a243309094,0.0778,0.5147,0.3466,0.1406,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,3,빈호흡,symptom:e3fb3f1d30,0.0756,0.3334,0.4017,0.0536,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,4,삼키기 곤란,dysphagia,0.0729,0.4386,0.2543,0.0469,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,5,호흡기감염,symptom:1d4021c99f,0.0708,0.217,0.2973,0.0469,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,6,눈이 무거운 느낌,symptom:b3dcf8a9c5,0.0686,0.3173,0.2087,0.0417,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,7,수유 곤란,symptom:50b724dad2,0.0459,0.0787,0.1192,0.05,rrf_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,8,불안,symptom:31e7e68566,0.0392,0.387,0.3946,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,9,기침,cough,0.0388,0.3934,0.3381,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
G,eval_001,0,호흡곤란이 있습니다 숨 차는 느낌,10,흉통,chest_pain,0.0388,0.7069,0.2548,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,match,숨이 차는 느낌은 호흡곤란과 직접 대응합니다.,false,top_k
