variant,case_id,span_index,query,rank,candidate,slot_id,rank_score,bm25_score,vector_score,label_score,retrieval_branch,embedding_provider,embedding_model,score_mode,gate_decision,gate_reason,gate_support_score,gate_specificity_score,linker_decision,linker_reason,linker_selected,linker_scope
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,1,복벽이 움푹 들어감,symptom:4b1674fb28,0.0747,0.3259,0.1309,0.0375,rrf_bm25_vector_label,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,2,호흡곤란,dyspnea,0.0595,0.0,0.0181,1.0,rrf_preferred_alias,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,3,가슴 답답,chest_discomfort,0.0403,1.0,0.1547,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,4,가래,sputum,0.0382,0.3865,0.1365,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,5,탈장,symptom:d7c26014b2,0.0352,0.0937,0.1184,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,6,근력 약화,muscle_weakness,0.0341,0.3196,0.1024,0.0,rrf_bm25_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,7,빈호흡,symptom:e3fb3f1d30,0.018,0.0,0.2033,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,8,기침,cough,0.0177,0.0,0.1992,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,9,빈맥,symptom:920af2278a,0.0175,0.0,0.1933,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
C,eval_001,0,가만있어도 숨이 차서 데우 힘들어요.,10,구토,vomiting,0.0172,0.0,0.1868,0.0,rrf_vector,bedrock-titan,amazon.titan-embed-text-v2:0,rrf-hybrid,,,,,,,,
