variant,case_id,failure_type,missing_gold,negative_hits,gold_symptoms,evaluated_k,predicted_top_k,queries_used,span_names,span_statuses,span_types,active_span_count,skipped_span_count
O,syn_0001,negative_hit,,오한,감기 증상,20,오한; 감기 증상; 무증상; 다발성 장기부전 증상; 뇌압상승증상; 근육통; 두통; 체중감소; 설사; 말초부종; 권태감; 호흡기감염; 폐부종; 피로감; 식욕부진; 결막염; 구토; 기침; 반복되는 폐렴; 목소리 변화,감기 증상 감기 증상,감기 증상,있음,oracle_gold,1,0
O,syn_0005,negative_hit,,눈꼽,가슴 두근거림,20,가슴 두근거림; 눈꼽; 가슴 답답; 함몰가슴; 삼키기 곤란; 청색증; 가래; 사망; 사래걸림; 기침; 지남력 장애; 검은색 가래; 흉통; 운동 시 호흡곤란; 거품이 섞인 가래; 결막염; 반복되는 폐렴; 심부전; 재채기; 온몸이 떨림,가슴 두근거림 가슴 두근거림,가슴 두근거림,있음,oracle_gold,1,0
O,syn_0013,negative_hit,,가슴 답답,설사,20,가슴 답답; 설사; 구토; 피로감; 콧물; 방사통; 무증상; 감기 증상; 거품이 섞인 가래; 창백; 곤봉지; 근력 약화; 눈이 무거운 느낌; 기침; 체중감소; 코막힘; 사망; 사지 부종; 빈혈; 질식,설사 설사,설사,있음,oracle_gold,1,0
O,syn_0017,negative_hit,,콧물,눈꼽; 체중감소,20,콧물; 체중감소; 눈꼽; 구토; 식욕부진; 빈혈; 열; 마찰음; 가슴 답답; 가래; 결막염; 천명음; 함몰가슴; 눈이 무거운 느낌; 기침; 운동 시 호흡곤란; 감기 증상; 사망; 천식; 호기의 증가,눈꼽 체중감소 눈꼽 체중감소,눈꼽 체중감소,있음,oracle_gold,1,0
O,syn_0021,negative_hit,,감기 증상,온몸이 떨림,20,온몸이 떨림; 근육통; 체중감소; 기운없음; 식욕부진; 감기 증상; 삼키기 곤란; 가래; 목소리 변화; 천식; 기침; 폐기능저하; 지남력 장애; 가슴 답답; 고탄산증; 검은색 가래; 화농성 객담; 어지러움; 빈호흡; 천명음,온몸이 떨림 온몸이 떨림,온몸이 떨림,있음,oracle_gold,1,0
O,syn_0041,negative_hit,,발한,부정맥,20,부정맥; 발한; 경정맥 확장; 빈맥; 서맥; 빈호흡; 빈혈; 탈장; 무증상; 폐동맥 고혈압; 가래; 피로감; 객혈; 근긴장의 이상; 지남력 장애; 인지장애; 감기 증상; 질식; 호흡기감염; 사지 부종,부정맥 부정맥,부정맥,있음,oracle_gold,1,0
O,syn_0045,negative_hit,,운동 시 호흡곤란,삼키기 곤란,20,호흡곤란; 삼키기 곤란; 수유 곤란; 운동 시 호흡곤란; 청색증; 호흡기감염; 반복되는 폐렴; 체중감소; 불안; 함몰가슴; 가슴 답답; 기침; 사망; 발한; 식욕부진; 피부홍조; 폐부종; 열; 오한; 천명음,삼키기 곤란 삼키기 곤란,삼키기 곤란,있음,oracle_gold,1,0
O,syn_0049,negative_hit,,호흡곤란,사지 부종; 오한,20,사지 부종; 오한; 하지부종; 말초부종; 호흡곤란; 폐부종; 권태감; 두통; 근육통; 열; 구토; 감기 증상; 압통; 발한; 경정맥 확장; 근력 약화; 뇌압상승증상; 어지러움; 사래걸림; 호기의 증가,사지 부종 오한 사지 부종 오한,사지 부종 오한,있음,oracle_gold,1,0
O,syn_0053,negative_hit,,화농성 객담,눈의 충혈,20,눈의 충혈; 화농성 객담; 구토; 객혈; 눈이 무거운 느낌; 뇌압상승증상; 눈꼽; 급성 신부전; 다발성 장기부전 증상; 가래; 압통; 심부전; 경정맥 확장; 흉수; 기운없음; 사래걸림; 식욕부진; 박동성 통증; 가슴 두근거림; 하지부종,눈의 충혈 눈의 충혈,눈의 충혈,있음,oracle_gold,1,0
O,syn_0069,negative_hit,,목의 통증,거품이 섞인 가래; 근육통,20,거품이 섞인 가래; 가래; 목의 통증; 검은색 가래; 근육통; 객혈; 기침; 화농성 객담; 운동 시 호흡곤란; 감기 증상; 오한; 구토; 두통; 발한; 반복되는 폐렴; 근력 약화; 근긴장의 이상; 폐기능저하; 결막염; 방사통,거품이 섞인 가래 근육통 거품이 섞인 가래 근육통,거품이 섞인 가래 근육통,있음,oracle_gold,1,0
